Site,Date,Latitude,Longitude,Biscuit skate,Broadnose sevengill shark,Bronze whaler,Dark shyshark,Eagle ray,Leopard catshark,Lesser guitarfish,Puffadder shyshark,Pyjama shark,Short-tail stingray,Shortnose spurdog,Smooth hammerhead shark,Smooth-hound shark,Soupfin shark,Spearnose skate,Spotted-gully shark,St. Joseph shark,Tiger catshark
F3,06/02/2018,-34.43379,19.26473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3,13/04/2018,-34.43379,19.26473,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F3,04/05/2018,-34.43379,19.26473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F5,24/02/2017,-34.43749,19.27114,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1
F5,01/11/2017,-34.43749,19.27114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F6,01/02/2017,-34.4364,19.28265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F6,13/05/2017,-34.4364,19.28265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,07/02/2017,-34.4640556,19.29125521,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,28/07/2017,-34.4640556,19.29125521,0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0
F7,14/02/2018,-34.4640556,19.29125521,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
F7,13/04/2018,-34.4640556,19.29125521,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
F7,12/06/2018,-34.4640556,19.29125521,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0
F8,01/02/2017,-34.44806,19.28461,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
F8,24/02/2017,-34.44806,19.28461,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
F8,28/07/2017,-34.44806,19.28461,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
F8,14/02/2018,-34.44806,19.28461,1,1,0,3,0,1,0,0,2,0,0,0,0,0,0,0,1,0
F8,12/06/2018,-34.44806,19.28461,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
F9,07/02/2017,-34.46970016,19.29656082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F9,28/07/2017,-34.46970016,19.29656082,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
F9,06/02/2018,-34.46970016,19.29656082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F9,12/06/2018,-34.46970016,19.29656082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1,19/09/2016,-34.6409,19.3043,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
G2,19/09/2016,-34.636668,19.322543,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0
G3,19/09/2016,-34.634512,19.338552,0,0,0,0,0,0,1,3,0,0,6,0,1,0,0,0,0,0
G5,19/09/2016,-34.628033,19.371857,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
G6,19/09/2016,-34.623233,19.371857,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelp1,01/03/2018,-34.414238,19.253473,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Kelp1,04/05/2018,-34.414238,19.253473,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kelp1,05/06/2018,-34.414238,19.253473,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kelp2,01/03/2018,-34.41966,19.245623,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kelp2,05/06/2018,-34.41966,19.245623,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kelp3,12/07/2017,-34.429718,19.23203,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
